Token ID,Decoded,Score
11542, freedom,3.359375
25320, Freedom,3.265625
86872,Freedom,3.265625
40835, LOVE,3.25
61094, LIFE,3.203125
83900,.life,3.0
24966, CONNECTION,2.96875
28899, imagination,2.84375
29351,Love,2.671875
10919, Love,2.671875
48379, Opportunity,2.640625
57184, UNITY,2.4375
57273,UNITY,2.4375
6776, opportunity,2.40625
32883, loyalty,2.359375
31153,love,2.28125
3021, love,2.28125
39193, Discovery,2.265625
68500,Discovery,2.265625
21460, Experience,2.234375
35215,Experience,2.234375
26888, Peace,2.15625
...,...,...
14923, &=,-10.6875
11779, `${,-10.6875
87546, raping,-10.6875
27817,_headers,-10.75
58467,.insertBefore,-10.75
5747,.setText,-10.75
29372,(cfg,-10.75
6019,(st,-10.75
27701,.startsWith,-10.75
18350,(con,-10.75
26342,/********************************,-10.8125
85399,########################,-10.8125
97615, ########################,-10.8125
58352,"(""[%",-10.875
76897,_checks,-10.875
6294,(struct,-10.9375
42864, homosexual,-10.9375
74061,/****************************************,-10.9375
27249,.startswith,-11.0
94380, jihadists,-11.0625
97223, homosexuals,-11.3125
37289,.assertFalse,-11.4375
